"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"75","Bellville Wastewater Treatment Works",3033,NA,NA,"A grade","Secondary and Higher",NA,NA
"76","Borcherds Quarry Wastewater Treatment Works",3034,NA,NA,"B grade","Secondary and Higher",NA,NA
"77","Camps Bay Marine Outfall",3035,"Ocean",NA,NA,"Secondary and Higher","Atlantic Ocean",NA
"78","Green Point Marine Outfall",3036,"Ocean",NA,NA,"Secondary and Higher","Atlantic Ocean",NA
"79","Groot Springfontein Wastewater Treatment Works",3037,NA,NA,NA,"Secondary and Higher",NA,NA
"80","Gordon’s Bay Wastewater Treatment Works",3038,NA,NA,"D grade","Secondary and Higher",NA,NA
"81","Hout Bay Marine Outfall",3039,"Ocean",NA,NA,"Secondary and Higher","Atlantic Ocean",NA
"82","Klipheuwel Wastewater Treatment Works",3040,NA,NA,NA,"Secondary and Higher",NA,NA
"83","Kraaifontein Wastewater Treatment Works",3041,NA,NA,"B grade","Secondary and Higher",NA,NA
"84","Llandudno Wastewater Treatment Works",3042,NA,NA,NA,"Secondary and Higher",NA,NA
"85","Macassar Wastewater Treatment Works",3043,NA,NA,"B grade","Secondary and Higher",NA,NA
"86","Melkbosstrand Wastewater Treatment Works",3044,NA,NA,"D grade","Secondary and Higher",NA,NA
"87","Miller’s Point Wastewater  Treatment Works",3045,NA,NA,NA,"Secondary and Higher",NA,NA
"88","Mitchells Plain Wastewater Treatment Works",3046,NA,NA,"B grade","Secondary and Higher",NA,NA
"89","Oudekraal Wastewater Treatment Works",3047,NA,NA,NA,"Secondary and Higher",NA,NA
"90","Parow Wastewater Treatment Works",3048,NA,NA,NA,"Secondary and Higher",NA,NA
"91","Philadelphia Wastewater Treatment Works",3049,NA,NA,NA,"Secondary and Higher",NA,NA
"92","Potsdam Wastewater Treatment Works",3050,NA,NA,"A grade","Secondary and Higher",NA,NA
"93","Scottsdene Wastewater Treatment Works",3051,NA,NA,"C grade","Secondary and Higher",NA,NA
"94","Simon’s Town Wastewater Treatment Works",3052,NA,NA,"D grade","Secondary and Higher",NA,NA
"95","Wesfleur Wastewater Treatment Works",3053,"Groundwater",NA,"C grade","Secondary and Higher","Atlantis groundwater scheme",NA
"96","Wildevoëlvlei Wastewater Treatment Works",3054,NA,NA,"C grade","Secondary and Higher",NA,NA
"97","Binhe",3055,NA,NA,"AB process and MSBR are used","Secondary and Higher",NA,NA
"98","Luofang",3056,NA,NA,"AB process and MSBR are used","Secondary and Higher",NA,NA
"99","Nanshan",3057,NA,NA,"AB process and MSBR are used","Secondary and Higher",NA,NA
"100","Yantian",3058,NA,NA,"AB process and MSBR are used","Secondary and Higher",NA,NA
"101","Indiranagar",3059,"Unknown",NA,"No WWTP exist currently, untreated sewage goes into Rispana & Bindal Rivers","Secondary and Higher","Water body","Proposed"
"102","Doon Vihar",3060,"River",NA,NA,"Secondary and Higher","Bindal River","Proposed"
"103","Vijay Colony",3061,"River",NA,NA,"Secondary and Higher","Bindal River","Proposed"
"104","Kargi",3062,"River",NA,NA,"Secondary and Higher","Suswa River","Proposed"
"105","Dorwala",3063,"River",NA,NA,"Secondary and Higher","Bindal River","Proposed"
"106","Salawala",3064,"River",NA,NA,"Secondary and Higher","Bindal River","Proposed"
"107","Untreated Water",3065,"River",NA,"Note that around 20 MLD is used by farmers for fertilizer, and the rest dumped in Rispana, p.12","None","Rispana River","1965"
"108","Untreated Water",3066,"River",NA,NA,"None","Tawl River",NA
"109","Untreated Water",3067,"River",NA,NA,"None","Tawl River","Under construction"
"110","Untreated Water",3068,"River",NA,NA,"None","Tawl River","Under construction"
"111","Untreated Water",3069,"River",NA,NA,"None","Tawl River",NA
"112","Untreated Water",3070,"River",NA,"No WWTP, Septic tanks used","Primary","Yamuna River",NA
"113","Untreated Water",3071,"River",NA,"Sewage is disposed of in a valley (Ghati), eventually leading to Balia and Nihal watersheds","None","Naini River","Proposed"
"114","Untreated Water",3072,"River",NA,NA,"Secondary and Higher","Naini River","Proposed"
"115","Untreated Water",3073,"River",NA,NA,"Secondary and Higher","Naini River","Proposed"
"116","Untreated Water",3074,"River",NA,NA,"Secondary and Higher","Jhelum",NA
"117","Centaur Lake View Hotel",3075,"Lake",NA,NA,"Secondary and Higher","Dal & Achar Lakes",NA
"118","SKIMS Hospital",3076,"Lake",NA,NA,"Secondary and Higher","Dal & Achar Lakes",NA
"119","Grand Palace Hotel",3077,"Lake",NA,NA,"Secondary and Higher","Dal & Achar Lakes",NA
"120","Hazratbal",3078,"Lake",NA,NA,"Secondary and Higher","Dal Lake",NA
"121","Habak",3079,"Lake",NA,NA,"Secondary and Higher","Dal Lake",NA
"122","Laam",3080,"Lake",NA,NA,"Secondary and Higher","Dal Lake",NA
"123","Brari Numba",3081,NA,NA,NA,"Secondary and Higher",NA,"Proposed"
"124","Nala Amir Khan",3082,NA,NA,NA,"Secondary and Higher",NA,"Proposed"
